song_id,artist_name,song_name,popularity,energy,valence,danceability,explicit,loudness,duration_ms
Billy Joel - Piano Man,Billy Joel,Piano Man,79,0.477,0.405,0.334,0,-8.806,336200
Billy Joel - She's Always a Woman,Billy Joel,She's Always a Woman,77,0.324,0.384,0.292,0,-11.996,201373
Billy Joel - Uptown Girl,Billy Joel,Uptown Girl,85,0.944,0.792,0.701,0,-2.986,197706
Billy Joel - Vienna,Billy Joel,Vienna,84,0.495,0.308,0.532,0,-6.662,214240
Billy Joel - We Didn't Start the Fire,Billy Joel,We Didn't Start the Fire,79,0.967,0.895,0.712,0,-5.206,287733
Bobby Darin - Beyond the Sea,Bobby Darin,Beyond the Sea,70,0.513,0.546,0.467,0,-10.703,173299
Bobby Darin - Call Me Irresponsible - 2001 Remaster,Bobby Darin,Call Me Irresponsible - 2001 Remaster,61,0.347,0.644,0.607,0,-12.241,124560
Bobby Darin - Dream Lover,Bobby Darin,Dream Lover,58,0.62,0.74,0.459,0,-5.244,133109
Bobby Darin - I'm Beginning To See The Light - 2001 Digital Remaster,Bobby Darin,I'm Beginning To See The Light - 2001 Digital Remaster,53,0.31,0.578,0.486,0,-12.075,138600
Bobby Darin - It Had to Be You,Bobby Darin,It Had to Be You,50,0.343,0.609,0.457,0,-11.509,133212
Bobby Darin - Mack the Knife,Bobby Darin,Mack the Knife,61,0.49,0.542,0.564,0,-10.689,190532
Bobby Darin - More - 2001 Remaster,Bobby Darin,More - 2001 Remaster,50,0.52,0.682,0.518,0,-9.128,145240
Bobby Darin - More - Remastered 2004,Bobby Darin,More - Remastered 2004,63,0.484,0.691,0.498,0,-8.74,145933
Bobby Darin - Splish Splash,Bobby Darin,Splish Splash,59,0.94,0.97,0.63,0,-3.896,128451
Bobby Darin - Things,Bobby Darin,Things,45,0.556,0.849,0.647,0,-6.118,146516
Bobby Vinton - Blue Velvet,Bobby Vinton,Blue Velvet,53,0.2,0.241,0.38,0,-10.825,167213
Bobby Vinton - I Love How You Love Me,Bobby Vinton,I Love How You Love Me,47,0.169,0.222,0.249,0,-16.327,149866
Bobby Vinton - I Love You the Way You Are,Bobby Vinton,I Love You the Way You Are,40,0.307,0.417,0.362,0,-8.245,172000
Bobby Vinton - Mr. Lonely,Bobby Vinton,Mr. Lonely,47,0.327,0.302,0.206,0,-10.547,162546
Bobby Vinton - My Heart Belongs to Only You,Bobby Vinton,My Heart Belongs to Only You,38,0.312,0.425,0.382,0,-13.308,162066
Bobby Vinton - Over the Mountain Across the Sea,Bobby Vinton,Over the Mountain Across the Sea,39,0.15,0.32,0.405,0,-16.083,145440
Bobby Vinton - Please Love Me Forever,Bobby Vinton,Please Love Me Forever,39,0.156,0.308,0.452,0,-16.838,154706
Bobby Vinton - Roses Are Red (My Love),Bobby Vinton,Roses Are Red (My Love),44,0.251,0.607,0.455,0,-10.065,159693
Bobby Vinton - Sealed with a Kiss,Bobby Vinton,Sealed with a Kiss,50,0.358,0.648,0.255,0,-12.196,168493
Bobby Vinton - There! I've Said It Again,Bobby Vinton,There! I've Said It Again,37,0.247,0.348,0.221,0,-11.821,141000
Bon Jovi - Bad Medicine,Bon Jovi,Bad Medicine,71,0.973,0.805,0.555,0,-3.804,316706
Bon Jovi - Bed Of Roses,Bon Jovi,Bed Of Roses,74,0.596,0.161,0.309,0,-5.599,394400
Bon Jovi - I'll Be There For You,Bon Jovi,I'll Be There For You,69,0.727,0.233,0.437,0,-5.432,346586
Bon Jovi - It's My Life,Bon Jovi,It's My Life,82,0.913,0.544,0.551,0,-4.063,224493
Bon Jovi - Livin' On A Prayer,Bon Jovi,Livin' On A Prayer,87,0.887,0.795,0.532,0,-3.757,249293
Bon Jovi - Never Say Goodbye,Bon Jovi,Never Say Goodbye,68,0.797,0.271,0.326,0,-2.359,288933
Bon Jovi - Runaway,Bon Jovi,Runaway,75,0.902,0.622,0.473,0,-5.052,231689
Bon Jovi - Wanted Dead Or Alive,Bon Jovi,Wanted Dead Or Alive,75,0.802,0.253,0.252,0,-3.976,308666
Bon Jovi - You Give Love A Bad Name,Bon Jovi,You Give Love A Bad Name,84,0.96,0.812,0.541,0,-2.947,222706
Boyz II Men - 4 Seasons Of Loneliness,Boyz II Men,4 Seasons Of Loneliness,46,0.488,0.191,0.583,0,-10.494,292400
Boyz II Men - A Song For Mama,Boyz II Men,A Song For Mama,51,0.44,0.151,0.569,0,-8.948,303373
Boyz II Men - Doin' Just Fine,Boyz II Men,Doin' Just Fine,48,0.424,0.257,0.633,0,-5.965,332200
Boyz II Men - End Of The Road,Boyz II Men,End Of The Road,72,0.579,0.55,0.561,0,-6.022,349640
Boyz II Men - I'll Make Love To You,Boyz II Men,I'll Make Love To You,63,0.494,0.233,0.564,0,-8.028,238800
Boyz II Men - It's So Hard To Say Goodbye To Yesterday,Boyz II Men,It's So Hard To Say Goodbye To Yesterday,47,0.225,0.294,0.3,0,-11.079,168626
Boyz II Men - Motownphilly,Boyz II Men,Motownphilly,60,0.943,0.832,0.707,0,-5.32,235413
Boyz II Men - On Bended Knee,Boyz II Men,On Bended Knee,57,0.513,0.181,0.632,0,-8.263,331066
Boyz II Men - Water Runs Dry,Boyz II Men,Water Runs Dry,55,0.368,0.514,0.583,0,-12.941,201573
Brenda Lee - All Alone Am I,Brenda Lee,All Alone Am I,48,0.269,0.341,0.259,0,-10.251,164266
Brenda Lee - Break It To Me Gently,Brenda Lee,Break It To Me Gently,56,0.143,0.535,0.353,0,-15.268,157733
Brenda Lee - Danke Schoen,Brenda Lee,Danke Schoen,46,0.325,0.681,0.619,0,-10.679,159533
Brenda Lee - Emotions,Brenda Lee,Emotions,66,0.368,0.49,0.466,0,-8.811,170920
Brenda Lee - I'm Sorry,Brenda Lee,I'm Sorry,57,0.256,0.389,0.529,0,-11.591,158973
Brenda Lee - If You Love Me (Really Love Me),Brenda Lee,If You Love Me (Really Love Me),49,0.389,0.403,0.419,0,-8.547,158533
Brenda Lee - Rockin' Around The Christmas Tree,Brenda Lee,Rockin' Around The Christmas Tree,65,0.373,0.864,0.665,0,-12.982,125866
Brenda Lee - Sweet Nothin's,Brenda Lee,Sweet Nothin's,56,0.473,0.961,0.758,0,-8.602,145066
Brenda Lee - The End Of The World,Brenda Lee,The End Of The World,46,0.185,0.305,0.334,0,-11.612,188493
Bruce Springsteen - Born in the U.S.A.,Bruce Springsteen,Born in the U.S.A.,74,0.952,0.584,0.398,0,-6.042,278680
Bruce Springsteen - Born to Run,Bruce Springsteen,Born to Run,72,0.944,0.606,0.27,0,-4.199,269920
Bruce Springsteen - Dancing In the Dark,Bruce Springsteen,Dancing In the Dark,83,0.942,0.495,0.527,0,-5.64,241306
Bruce Springsteen - Glory Days,Bruce Springsteen,Glory Days,71,0.95,0.0671,0.179,0,-4.937,473560
Bruce Springsteen - Hungry Heart,Bruce Springsteen,Hungry Heart,71,0.785,0.373,0.341,0,-6.229,206946
Bruce Springsteen - I'm On Fire,Bruce Springsteen,I'm On Fire,80,0.446,0.868,0.62,0,-14.451,155880
Bruce Springsteen - The River,Bruce Springsteen,The River,66,0.536,0.59,0.587,0,-11.248,301546
Bruce Springsteen - Thunder Road,Bruce Springsteen,Thunder Road,64,0.758,0.663,0.369,0,-5.871,288720
Bruno Mars - Grenade,Bruno Mars,Grenade,79,0.558,0.245,0.704,0,-7.273,222091
Bruno Mars - Just the Way You Are,Bruno Mars,Just the Way You Are,86,0.841,0.424,0.635,0,-5.379,220734
Bruno Mars - Leave The Door Open,Bruno Mars,Leave The Door Open,81,0.616,0.719,0.586,0,-7.964,242096
Bruno Mars - Locked out of Heaven,Bruno Mars,Locked out of Heaven,90,0.698,0.867,0.726,0,-4.165,233478
Bruno Mars - Marry You,Bruno Mars,Marry You,76,0.82,0.452,0.621,0,-4.865,230192
