Artist_Name,artists,disc_number,duration_ms,explicit,href,id,is_local,is_playable,name,popularity,preview_url,track_number,type,uri,album.album_type,album.artists,album.href,album.id,album.images,album.is_playable,album.name,album.release_date,album.release_date_precision,album.total_tracks,album.type,album.uri,album.external_urls.spotify,external_ids.isrc,external_urls.spotify
Aretha Franklin,,1,216773,FALSE,https://api.spotify.com/v1/tracks/3NfxSdJnVdon1axzloJgba,3NfxSdJnVdon1axzloJgba,FALSE,TRUE,I Say a Little Prayer,77,https://p.scdn.co/mp3-preview/15d06d515184acb84a761784bf46efb2289740e8?cid=5dee1588160f4273bb52ba17fcdffe19,2,track,spotify:track:3NfxSdJnVdon1axzloJgba,album,,https://api.spotify.com/v1/albums/55HZ2ectg1mMTEKDqIq3kC,55HZ2ectg1mMTEKDqIq3kC,,TRUE,Aretha Now,1968-06-14,day,10,album,spotify:album:55HZ2ectg1mMTEKDqIq3kC,https://open.spotify.com/album/55HZ2ectg1mMTEKDqIq3kC,USAT20801207,https://open.spotify.com/track/3NfxSdJnVdon1axzloJgba
Aretha Franklin,,1,165333,FALSE,https://api.spotify.com/v1/tracks/5K09WxKdlkroDyEVyOSySy,5K09WxKdlkroDyEVyOSySy,FALSE,TRUE,(You Make Me Feel Like) A Natural Woman,70,https://p.scdn.co/mp3-preview/e573a3589eaf7c2ef35ec7480dc13868d6d1c318?cid=5dee1588160f4273bb52ba17fcdffe19,5,track,spotify:track:5K09WxKdlkroDyEVyOSySy,album,,https://api.spotify.com/v1/albums/7lEOKZaOpqP70UYqdLPejG,7lEOKZaOpqP70UYqdLPejG,,TRUE,Lady Soul (With Bonus Selections),1968-01-22,day,14,album,spotify:album:7lEOKZaOpqP70UYqdLPejG,https://open.spotify.com/album/7lEOKZaOpqP70UYqdLPejG,USAT20801219,https://open.spotify.com/track/5K09WxKdlkroDyEVyOSySy
Aretha Franklin,,1,139733,FALSE,https://api.spotify.com/v1/tracks/4yQw7FR9lcvL6RHtegbJBh,4yQw7FR9lcvL6RHtegbJBh,FALSE,TRUE,Think,67,https://p.scdn.co/mp3-preview/9c6ac431a91feba82882d2d33beeb25d456da663?cid=5dee1588160f4273bb52ba17fcdffe19,1,track,spotify:track:4yQw7FR9lcvL6RHtegbJBh,album,,https://api.spotify.com/v1/albums/55HZ2ectg1mMTEKDqIq3kC,55HZ2ectg1mMTEKDqIq3kC,,TRUE,Aretha Now,1968-06-14,day,10,album,spotify:album:55HZ2ectg1mMTEKDqIq3kC,https://open.spotify.com/album/55HZ2ectg1mMTEKDqIq3kC,USAT20801206,https://open.spotify.com/track/4yQw7FR9lcvL6RHtegbJBh
Aretha Franklin,,4,240120,FALSE,https://api.spotify.com/v1/tracks/2gJDyiRxxIglLXp545SPVL,2gJDyiRxxIglLXp545SPVL,FALSE,TRUE,I Knew You Were Waiting (For Me),63,https://p.scdn.co/mp3-preview/e3428e98f26d9e8fb2c9e373acc23af2978fc6e5?cid=5dee1588160f4273bb52ba17fcdffe19,8,track,spotify:track:2gJDyiRxxIglLXp545SPVL,album,,https://api.spotify.com/v1/albums/0RemO3TlI1NdaeWqdE4E9H,0RemO3TlI1NdaeWqdE4E9H,,TRUE,ARETHA,2021-07-30,day,81,album,spotify:album:0RemO3TlI1NdaeWqdE4E9H,https://open.spotify.com/album/0RemO3TlI1NdaeWqdE4E9H,USAR18600111,https://open.spotify.com/track/2gJDyiRxxIglLXp545SPVL
Aretha Franklin,,1,167066,FALSE,https://api.spotify.com/v1/tracks/2oZmMp5M6L0Rh7G84Um2tF,2oZmMp5M6L0Rh7G84Um2tF,FALSE,TRUE,Chain of Fools,63,https://p.scdn.co/mp3-preview/2d21722a8cf75ba7bf67e804d41c7d84560ac4e4?cid=5dee1588160f4273bb52ba17fcdffe19,1,track,spotify:track:2oZmMp5M6L0Rh7G84Um2tF,album,,https://api.spotify.com/v1/albums/7lEOKZaOpqP70UYqdLPejG,7lEOKZaOpqP70UYqdLPejG,,TRUE,Lady Soul (With Bonus Selections),1968-01-22,day,14,album,spotify:album:7lEOKZaOpqP70UYqdLPejG,https://open.spotify.com/album/7lEOKZaOpqP70UYqdLPejG,USAT20801215,https://open.spotify.com/track/2oZmMp5M6L0Rh7G84Um2tF
Aretha Franklin,,1,149626,FALSE,https://api.spotify.com/v1/tracks/4VijLEUxHEzbWKYL5u9wuN,4VijLEUxHEzbWKYL5u9wuN,FALSE,TRUE,You Send Me,63,https://p.scdn.co/mp3-preview/77c13200cb068392f7d2bcf6e008bd1e13f49bd8?cid=5dee1588160f4273bb52ba17fcdffe19,5,track,spotify:track:4VijLEUxHEzbWKYL5u9wuN,album,,https://api.spotify.com/v1/albums/55HZ2ectg1mMTEKDqIq3kC,55HZ2ectg1mMTEKDqIq3kC,,TRUE,Aretha Now,1968-06-14,day,10,album,spotify:album:55HZ2ectg1mMTEKDqIq3kC,https://open.spotify.com/album/55HZ2ectg1mMTEKDqIq3kC,USAT20801209,https://open.spotify.com/track/4VijLEUxHEzbWKYL5u9wuN
Aretha Franklin,,1,239960,FALSE,https://api.spotify.com/v1/tracks/7L4G39PVgMfaeHRyi1ML7y,7L4G39PVgMfaeHRyi1ML7y,FALSE,TRUE,Day Dreaming,60,https://p.scdn.co/mp3-preview/5df0997a1b1395b89c7ccd98f55203cbfcb63702?cid=5dee1588160f4273bb52ba17fcdffe19,2,track,spotify:track:7L4G39PVgMfaeHRyi1ML7y,album,,https://api.spotify.com/v1/albums/0k5C3Z7w7uQpyGFQEzl7yB,0k5C3Z7w7uQpyGFQEzl7yB,,TRUE,"Young, Gifted and Black",1972-01-24,day,12,album,spotify:album:0k5C3Z7w7uQpyGFQEzl7yB,https://open.spotify.com/album/0k5C3Z7w7uQpyGFQEzl7yB,USAT20801194,https://open.spotify.com/track/7L4G39PVgMfaeHRyi1ML7y
Aretha Franklin,,1,199266,FALSE,https://api.spotify.com/v1/tracks/4uCbetXW9LStYPUjCpBVp9,4uCbetXW9LStYPUjCpBVp9,FALSE,TRUE,Son of a Preacher Man,58,https://p.scdn.co/mp3-preview/55ed4059597a25c5c33153758f25a28f8ee7b7b8?cid=5dee1588160f4273bb52ba17fcdffe19,1,track,spotify:track:4uCbetXW9LStYPUjCpBVp9,album,,https://api.spotify.com/v1/albums/5TGmpcEuZsVIoxDWnJIan5,5TGmpcEuZsVIoxDWnJIan5,,TRUE,This Girl's in Love with You,1970-01-15,day,10,album,spotify:album:5TGmpcEuZsVIoxDWnJIan5,https://open.spotify.com/album/5TGmpcEuZsVIoxDWnJIan5,USAT20801270,https://open.spotify.com/track/4uCbetXW9LStYPUjCpBVp9
Aretha Franklin,,1,153600,FALSE,https://api.spotify.com/v1/tracks/1L2v0m8OZthSoBHGpOwpV2,1L2v0m8OZthSoBHGpOwpV2,FALSE,TRUE,One Step Ahead,54,https://p.scdn.co/mp3-preview/d0fd324fd8b49e179fef1a6f6537ae428dbdaa50?cid=5dee1588160f4273bb52ba17fcdffe19,11,track,spotify:track:1L2v0m8OZthSoBHGpOwpV2,album,,https://api.spotify.com/v1/albums/46rXeT9V36y4MaVgPWXlKf,46rXeT9V36y4MaVgPWXlKf,,TRUE,The Genesis of Aretha: 1960-1966,2021-02-16,day,22,album,spotify:album:46rXeT9V36y4MaVgPWXlKf,https://open.spotify.com/album/46rXeT9V36y4MaVgPWXlKf,USSM11100907,https://open.spotify.com/track/1L2v0m8OZthSoBHGpOwpV2
Maroon 5,,1,189960,FALSE,https://api.spotify.com/v1/tracks/4gbVRS8gloEluzf0GzDOFc,4gbVRS8gloEluzf0GzDOFc,FALSE,TRUE,Maps,86,NA,1,track,spotify:track:4gbVRS8gloEluzf0GzDOFc,album,,https://api.spotify.com/v1/albums/2Auw0pTT6EcQdvHNimhLQI,2Auw0pTT6EcQdvHNimhLQI,,TRUE,V,2014-09-02,day,12,album,spotify:album:2Auw0pTT6EcQdvHNimhLQI,https://open.spotify.com/album/2Auw0pTT6EcQdvHNimhLQI,USUM71407116,https://open.spotify.com/track/4gbVRS8gloEluzf0GzDOFc
